plate,fiberid,mjd,z,zwarning,h_beta_flux,h_beta_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err
490,155,51929,0.07758131,0,26.6233,2.191223,63.58136,5.027912,23.4437,4.899238,11.28231,2.376867,30.80742,2.439539
756,280,52577,0.1573861,0,24.74955,3.498057,30.89235,7.49122,24.21485,7.167274,12.03783,4.105994,25.02516,4.624276
1705,253,53848,0.09624047,0,30.96196,3.228011,45.69702,5.959001,50.1059,6.258138,15.38197,3.468826,32.12936,3.670675
2349,218,53734,0.06406213,0,14.40638,1.98131,10.59634,3.805533,1.899586,3.790808,-0.2421958,2.011286,5.321301,2.081765
939,225,52636,0.02782699,0,57.87104,2.881205,77.12749,8.031549,66.09684,8.244592,15.27578,2.898552,40.05906,3.055629
2295,621,53734,0.1071873,0,16.01551,2.564898,34.69798,4.8093,14.0047,4.649593,2.803016,2.709655,16.28243,2.866055
346,623,51693,0.08448629,0,20.88672,2.508904,52.08454,7.393874,17.35786,6.870446,16.11801,3.008211,52.8728,3.06241
879,486,52365,0.04738396,0,10.98415,2.167132,14.80776,3.935416,2.823333,3.899066,3.081995,2.015533,13.76651,2.092913
2794,158,54537,0.08598077,0,11.51039,1.861301,14.73509,3.802771,8.683799,3.983298,2.273586,2.016789,7.602014,1.99665
1599,363,53089,0.1115605,0,15.66308,2.7727,16.62615,4.762147,17.1477,5.040537,5.615839,2.984034,12.68029,2.945873
1693,97,53446,0.06222546,0,15.48378,3.012884,66.38829,9.674209,65.37958,9.491421,11.76719,3.342731,29.87294,3.426525
433,98,51873,0.1134417,0,12.60961,2.424389,25.71842,5.013921,9.527057,4.911363,5.997283,2.773641,13.36567,4.618814
1575,107,53493,0.06844494,0,17.77436,3.192904,41.2194,8.595261,10.59379,8.680282,15.17911,3.477063,32.98199,3.583444
1831,374,54557,0.0457555,0,59.35776,3.075276,54.02641,6.074831,69.46999,6.116244,7.667772,2.62564,19.62427,2.782463
2361,467,53762,0.1635934,0,14.6255,2.916506,32.24554,4.395032,29.2213,4.475378,-0.9575225,3.0584,33.85859,3.216029
744,184,52251,0.03981252,0,45.00267,4.923592,46.41539,13.42943,73.89171,13.54873,14.02593,5.308156,36.78218,5.364644
671,197,52206,0.271421,0,8.549641,0.9519188,12.43185,1.936855,5.097695,1.870459,10.58218,5.381996,5.826846,1.355646
272,256,51941,0.1693897,0,39.21459,3.761086,26.71685,5.631447,25.44993,5.690034,6.993255,3.433238,26.06728,3.670741
1634,320,53299,0.345246,0,11.35064,1.210803,5.661312,2.431731,18.0145,2.520032,2.871577,1.105508,6.3444,1.098984
2285,108,53700,0.1165873,0,16.35412,2.902294,23.08371,5.647388,26.62707,5.631074,32.27132,2.949886,112.5857,3.566401
2141,472,53764,0.1260788,0,8.572111,1.613472,15.6352,2.523499,12.72847,2.45818,3.234894,1.861972,3.358645,1.788967
1408,119,52822,0.1326439,0,23.20755,3.623521,19.92875,7.112251,32.85004,7.161689,3.765745,3.951487,16.93034,4.021432
606,1,52365,0.2227208,0,14.06398,2.400089,15.92815,2.624863,4.975433,2.392972,9.726164,2.000227,19.59798,1.971189
2483,63,53852,0.06201394,0,20.78731,2.467698,33.62796,6.251011,7.685036,6.09928,4.778887,2.530645,13.08715,2.798372
2275,349,53709,0.03626165,0,1289.027,10.29816,1750.876,19.03558,1677.05,18.31368,617.5244,7.276678,1868.851,14.24721
2746,99,54232,0.2645458,0,23.20257,3.703487,30.20787,6.21619,33.66022,6.294027,18.39647,2.983658,48.23737,2.844429
1864,581,53313,0.07001884,0,25.63345,3.309768,55.67214,8.765693,29.47503,8.514405,23.56327,3.682041,58.67827,3.85064
669,307,52559,0.3712655,0,10.26039,1.787541,12.99688,4.268489,13.63166,4.259965,2.392159,1.507774,12.32574,2.649761
739,186,52520,0.06272379,0,47.77025,3.106365,68.68811,7.668939,10.59278,8.627228,16.33309,3.382737,30.24186,3.549721
2760,151,54506,0.09443138,0,13.14633,2.072821,18.43899,5.227704,14.74856,5.293701,3.11454,2.254542,11.00545,2.366254
1269,368,52937,0.2869157,0,18.32389,3.156729,24.02368,5.633382,13.61021,5.467824,5.198426,2.370023,16.11032,2.269399
1875,323,54453,0.03860724,0,20.80641,4.085865,24.72858,13.26136,40.67757,13.02354,8.015426,4.027045,24.79607,3.972782
2024,607,53503,0.07684467,0,11.87474,2.333908,28.7926,5.791359,18.12459,5.571598,4.181345,2.381828,18.16119,2.470831
1739,77,53050,0.03041632,0,14.08316,2.790284,34.85719,7.283716,25.80617,7.175267,27.31502,2.687359,82.32294,3.289908
288,618,52000,0.09861849,0,14.59263,2.907769,31.25337,7.192751,-7.80151,7.331061,8.36303,3.313843,31.81257,3.57243
1556,260,53740,0.1068594,0,10.1602,1.761289,7.925836,3.522017,19.14905,3.598014,10.95864,1.919692,29.07904,2.190305
767,305,52252,0.06690872,0,9.854728,1.94749,33.98752,4.757159,40.69149,4.753601,3.767727,2.065985,14.10443,2.246156
997,68,52734,0.073213,0,50.91853,4.862622,43.66186,10.92554,77.8386,10.84102,17.19485,5.559613,53.09262,5.798069
1859,76,53177,0.1604249,0,12.32129,2.233844,10.51899,4.098467,13.68085,3.966486,3.323398,2.454258,8.011651,2.708972
603,55,52056,0.009519197,0,70.22903,4.550086,0.0,-0.7315813,0.0,-0.7315813,14.05649,4.630993,59.13827,4.978211
1879,411,54478,0.0007008419,0,2252.112,25.33994,0.0,-0.758413,0.0,-0.758413,275.8305,12.1951,780.1848,16.53868
286,27,51999,0.03486705,0,54.41446,6.30436,70.91062,10.8489,29.57531,11.24394,24.57205,6.546224,41.95224,6.525334
1579,18,53473,0.1771355,0,27.83117,5.193339,92.3697,14.23561,79.40627,13.5376,63.76973,6.765666,216.8034,9.44676
716,221,52203,0.07294288,0,25.7088,2.762439,2.166738,6.083826,37.77921,6.441204,10.1973,3.050015,17.26947,3.075176
2153,430,54212,0.06458873,0,30.15256,2.370669,15.3986,5.046426,11.90651,4.908988,1.612622,2.355439,10.94604,2.474807
2094,450,53851,0.03610217,0,44.78258,2.753474,36.29035,5.152527,28.08046,5.420896,18.73538,2.779099,51.04034,3.066147
2615,399,54483,0.05824823,0,31.93832,1.94523,10.19978,3.459543,18.24419,3.525609,3.539222,1.980742,13.1977,2.053859
884,623,52374,0.1191854,0,20.83742,3.879641,46.45625,7.778744,21.85563,8.231188,22.79327,3.695535,80.27234,4.166926
1008,354,52707,0.1295149,0,27.31643,3.126294,7.783463,5.314041,27.04092,5.437207,8.002154,3.09014,10.22828,3.202668
1788,423,54468,0.07100993,0,84.35647,3.028931,66.76821,6.156632,60.71437,6.088465,19.97175,3.174523,65.06718,3.340301
2960,80,54561,0.1088564,0,5397477000.0,509322600.0,0.0,-1069002000.0,0.0,-1069002000.0,6064421000.0,638972700.0,14333210000.0,1001417000.0
2017,2,53474,0.09926645,0,63.76698,8.751252,126.0808,13.00214,173.169,13.296,52.61229,6.73063,169.1779,7.336672
2035,251,53436,0.1526686,0,42.03484,2.789276,26.21103,3.920097,24.22741,3.928371,4.884665,2.664798,18.44106,3.158289
2884,440,54526,0.05504708,0,37.43126,4.151106,87.50369,8.191687,80.90411,8.286612,30.94136,5.0699,83.55623,5.32382
674,350,52201,0.1306821,0,22.30707,2.652433,24.71005,4.083565,3.647267,3.846108,3.622196,2.653094,13.22283,2.749393
1924,250,53330,0.1244886,0,269.8918,4.409627,236.7959,6.394338,218.7217,6.268974,31.45184,16.93876,179.7431,3.978029
1627,561,53473,0.1188212,0,33.08862,2.880734,26.93175,5.491549,34.95922,5.584228,9.753801,2.940733,17.15096,3.028108
620,575,52375,0.1026759,0,18.2815,2.923351,29.90062,5.060409,14.9692,5.141744,4.751254,2.787287,17.27674,2.904322
2110,173,53467,0.1590137,0,16.24867,2.527212,8.355171,4.010669,21.80423,4.031619,7.207828,2.665784,13.23579,3.024768
2533,20,54585,0.2340679,0,12.76011,2.114856,20.13329,3.320059,21.17388,3.366683,0.9369726,1.833338,13.3616,2.104584
1737,252,53055,0.1198503,0,19.28551,3.464271,8.243104,6.113654,30.25916,6.224291,5.635904,3.485024,22.64092,3.611479
2654,51,54231,0.04974754,0,18.26722,2.501196,9.297065,6.633521,24.15774,6.684235,0.3536653,2.495707,8.269848,2.590358
2609,301,54476,0.1678778,0,29.95193,2.70958,50.09777,5.498957,77.43586,5.025222,16.73142,2.673469,37.70554,2.809064
280,252,51612,0.07372136,0,15.22116,2.297647,3.353483,4.024023,25.14282,3.961903,5.673451,2.441556,17.19286,2.550443
1820,88,54208,0.05309332,0,13.95463,2.214092,-0.6289184,9.174938,21.44423,9.976894,17.24271,2.631337,49.99461,2.924826
1754,264,53385,0.1163609,0,16.85096,2.415699,31.18923,4.559205,6.769581,4.37177,6.238118,2.467209,12.82278,2.608826
1839,264,53471,0.03526083,0,116.8536,4.143806,72.51467,10.59522,57.98211,10.65821,6.274489,3.812872,40.63727,4.016312
1815,152,53884,0.08901037,0,20.03181,3.369605,49.48843,6.658809,-4.274896,6.228998,6.959166,3.237536,13.80859,3.483674
2764,521,54535,0.1032805,0,65.1987,3.021248,72.00927,6.005024,52.8908,6.013528,19.5113,3.157377,56.33809,3.360894
2651,126,54507,0.04588925,0,31.76184,4.465855,47.16582,12.58297,68.67587,12.59188,19.73871,4.939257,32.78878,4.984513
713,523,52178,0.04784027,0,41.86589,2.924171,33.61934,9.027018,70.52354,8.879542,22.51204,2.909449,72.34504,3.386838
1243,327,52930,0.1760887,0,21.67023,2.28885,17.67349,2.847879,11.29743,2.8077,-1.695192,2.487539,9.421317,6.599401
817,578,52381,0.1467955,0,18.95962,3.213763,25.81668,3.923544,26.45021,3.687428,1.507928,2.493658,12.54797,2.147866
1755,163,53386,0.1416982,0,33.71111,3.979405,40.85188,5.301661,30.57949,5.218593,11.95873,4.255639,16.50845,4.26696
