plate,fiberid,mjd,z,zwarning,nii_6584_flux,nii_6584_flux_err,h_beta_flux,h_beta_flux_err,h_alpha_flux,h_alpha_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err
449,432,51900,0.1459628,0,116.2937,3.51542,15.79477,2.948136,172.1906,4.544461,22.11801,3.686741,11.44496,3.593575,9.629838,3.009424,32.88094,2.976415
791,344,52435,0.06876346,0,108.0384,3.094192,17.76821,2.889377,179.8081,3.779322,15.2607,5.716789,20.83754,6.174591,0.7303538,2.72887,13.33144,2.802834
1006,2,52708,0.06489746,0,807.1158,7.963477,80.32035,4.151085,876.0564,9.020413,60.59781,11.38445,101.2329,12.18661,24.27444,4.269462,61.46682,4.540387
1872,614,53386,0.1134044,0,122.582,3.328731,15.4679,2.26821,156.6932,3.60918,10.07764,4.268535,18.0705,4.246602,1.521043,2.515316,17.92025,3.360297
506,131,52022,0.1011238,0,191.0916,4.634331,25.2634,2.852506,326.8794,4.922868,22.79179,6.138486,37.66001,6.097207,4.096327,3.66892,26.74738,3.08772
722,399,52224,0.05837418,0,139.5695,2.728458,21.50816,2.144746,285.1182,3.866727,36.83075,4.727238,13.30833,4.729682,5.709657,2.121179,11.65946,2.168609
1200,24,52668,0.008841419,0,722.4324,7.194627,56.09912,3.188656,812.1915,8.037034,0.0,-0.8204454,0.0,-0.8204454,31.09694,3.448238,84.19243,3.63537
2275,484,53709,0.01914381,0,474.2598,4.153704,2065.378,33.08986,204203.0,30287.76,0.0,-0.8890643,0.0,-0.8890643,1685.357,12.24123,4923.3,31.60175
2163,58,53823,0.01839796,0,1779.637,18.0795,77.63196,5.416855,1257.746,19.36359,0.0,-0.8081567,0.0,-0.8081567,36.43105,5.710546,181.0421,6.445644
969,224,52442,0.06512441,0,63.97536,2.12156,12.27252,1.928987,134.7766,2.536644,12.99467,3.97804,11.53381,3.43016,3.783125,1.939751,11.24848,2.062597
1171,272,52753,0.1824979,0,186.8978,5.93543,19.92979,3.65426,214.7056,7.243669,44.73069,6.848669,22.9776,6.859166,6.647418,3.960959,11.33173,3.467207
1065,32,52586,0.3590329,0,55.96865,26.54673,30.84416,5.904077,664.2717,107.1991,8.498122,9.970427,43.86828,9.710442,2.368098,5.29246,44.33995,6.723456
2518,620,54243,0.1008172,0,295.3354,5.129735,36.83258,2.736582,473.7861,6.007026,38.99604,4.406253,38.90531,4.368179,9.884925,3.184839,20.2576,3.008806
490,155,51929,0.07758131,0,286.3797,4.056867,26.6233,2.191223,279.9225,4.188179,63.58136,5.027912,23.4437,4.899238,11.28231,2.376867,30.80742,2.439539
756,280,52577,0.1573861,0,206.1802,6.702442,24.74955,3.498057,252.5954,7.234283,30.89235,7.49122,24.21485,7.167274,12.03783,4.105994,25.02516,4.624276
2349,218,53734,0.06406213,0,73.05473,2.696619,14.40638,1.98131,161.7872,3.276396,10.59634,3.805533,1.899586,3.790808,-0.2421958,2.011286,5.321301,2.081765
1705,253,53848,0.09624047,0,259.1743,4.868712,30.96196,3.228011,315.1443,5.413697,45.69702,5.959001,50.1059,6.258138,15.38197,3.468826,32.12936,3.670675
349,399,51699,0.3615204,0,8.117691,2.694558,7.292754,0.910643,75.12446,3.947891,7.92635,1.412384,2.379612,1.359131,1.929999,0.7638471,5.017498,0.8767132
978,583,52441,0.2478444,0,337.7395,12.04387,19.99877,3.424577,219.1738,13.53162,67.18021,16.32583,86.06137,15.61121,4.515846,3.948223,47.31135,3.814537
2795,589,54563,0.2569929,0,59.37738,3.275947,11.15065,1.703433,120.4203,3.126752,14.74492,2.400014,10.82649,2.381013,4.090471,1.776667,10.29055,1.591943
2023,51,53851,0.02305789,0,1360.322,11.44047,222.1076,5.602025,2236.031,18.23826,0.0,-0.7629776,0.0,-0.7629776,38.21496,4.671443,151.1361,5.587503
646,147,52523,0.1756193,0,85.06006,2.208939,50.54839,2.292871,569.1434,87.93262,27.71872,2.76629,29.55208,2.874356,7.206426,2.183917,14.73121,2.521999
599,294,52317,0.1339355,0,166.8534,4.105132,19.31412,2.852758,216.3112,4.474248,41.78893,4.870838,9.986031,4.795218,7.947522,3.205238,14.41206,3.402117
283,322,51959,0.07695858,0,231.7308,4.733029,32.60326,3.119504,388.4686,5.7934,27.20923,6.747962,18.23413,6.728556,4.272918,3.051128,12.99289,3.148672
1754,264,53385,0.1163609,0,130.2323,4.69359,16.85096,2.415699,176.0625,4.949382,31.18923,4.559205,6.769581,4.37177,6.238118,2.467209,12.82278,2.608826
2764,521,54535,0.1032805,0,541.1053,6.812222,65.1987,3.021248,652.6014,7.976494,72.00927,6.005024,52.8908,6.013528,19.5113,3.157377,56.33809,3.360894
1815,152,53884,0.08901037,0,121.0353,4.177317,20.03181,3.369605,206.7112,4.96588,49.48843,6.658809,-4.274896,6.228998,6.959166,3.237536,13.80859,3.483674
1839,264,53471,0.03526083,0,842.2194,9.413368,116.8536,4.143806,1349.253,12.93396,72.51467,10.59522,57.98211,10.65821,6.274489,3.812872,40.63727,4.016312
2651,126,54507,0.04588925,0,286.6224,6.977634,31.76184,4.465855,319.7136,7.579971,47.16582,12.58297,68.67587,12.59188,19.73871,4.939257,32.78878,4.984513
713,523,52178,0.04784027,0,256.1704,4.313074,41.86589,2.924171,454.2248,5.657104,33.61934,9.027018,70.52354,8.879542,22.51204,2.909449,72.34504,3.386838
1627,561,53473,0.1188212,0,226.5849,4.932983,33.08862,2.880734,369.5986,6.060093,26.93175,5.491549,34.95922,5.584228,9.753801,2.940733,17.15096,3.028108
